TS,Track V, Car V, Car I
1609459222939,9.994179,0.057022,3.641657
1609459222997,9.998565,0.052636,3.641657
1609459223061,9.998565,0.052636,3.609430
1609459223125,9.998565,0.057022,3.609430
1609459223191,9.994179,0.052636,3.609430
1609459223253,9.994179,0.052636,3.609430
1609459223317,10.002951,0.052636,3.609430
1609459223381,9.994179,0.052636,3.609430
1609459223447,9.994179,0.057022,3.641657
1609459223509,9.994179,0.052636,3.609430
1609459223637,9.994179,0.057022,3.641657
1609459223708,9.994179,0.052636,3.577203
1609459223854,9.998565,0.052636,3.609430
1609459223918,9.994179,0.052636,3.641657
1609459223982,10.002951,0.052636,3.609430
1609459224110,9.511686,2.812165,8.671092
1609459224174,9.323075,3.970422,10.572487
1609459224238,9.375710,4.922522,9.992401
1609459224302,9.467823,5.422560,8.993362
1609459224368,9.678365,5.343606,6.898603
1609459224430,9.967861,2.421784,2.255894
1609459224494,9.972247,1.969722,2.545937
1609459224658,9.709069,3.737948,6.640787
1609459224723,9.704683,3.922172,6.769695
1609459224787,9.722228,4.071306,6.576333
1609459224915,9.827499,3.957263,5.448386
1609459224979,9.976633,1.684612,2.739300
1609459225043,9.888907,2.654258,4.771618
1609459225107,9.713455,3.619518,6.640787
1609459225172,9.836272,3.404589,5.351705
1609459225299,9.735387,3.790583,6.350744
1609459225427,9.691524,3.895854,6.866376
1609459225491,9.621343,3.878309,7.639826
1609459225555,9.595025,4.246758,7.897642
1609459225619,9.564322,4.769002,8.252139
1609459225683,9.529231,5.483968,8.703319
1609459225747,9.625730,5.707943,7.672053
1609459225875,9.862590,5.255881,5.158343
1609459226037,9.695910,5.040952,6.801922
1609459226164,9.972247,2.061834,2.481483
1609459226293,9.678365,4.211668,6.963058
1609459226357,9.682751,4.097624,6.995285
1609459226485,9.502913,5.391856,8.767773
1609459226551,9.432733,6.611521,9.476768
1609459226613,9.638888,6.361502,7.382010
1609459226677,9.972247,4.961999,3.867246
1609459226741,9.994179,3.773038,3.609430
1609459226805,9.866976,4.466073,5.061662
1609459226933,9.643275,5.067270,7.220874
1609459226999,9.595025,5.176928,7.833188
1609459227125,9.432733,6.563271,9.412313
1609459227255,9.858203,5.804442,5.061662
1609459227381,9.665206,5.602398,6.995285
1609459227509,9.630116,5.936031,7.382010
1609459227677,9.590639,6.563271,7.897642
1609459227805,9.551163,9.445891,8.091004
1609459227933,9.480982,9.375710,8.767773
1609459228061,9.494141,9.397642,8.638865
1609459228189,9.950315,3.922172,1.417990
1609459228317,9.967861,2.509510,2.191440
1609459228445,9.770477,4.154646,5.931792
1609459228573,9.546777,4.887432,8.219913
1609459228701,9.419574,6.247458,9.380087
1609459228830,9.103760,8.958738,12.508125
1609459228958,9.217804,9.099374,11.249256
1609459229088,9.546777,9.450278,8.123231
1609459229215,9.616957,9.529231,7.446464
1609459229344,9.932771,4.409051,1.127947
1609459229472,9.910838,5.071656,4.449347
1609459229600,9.766091,5.216404,5.964019
1609459229728,9.731001,5.593626,6.415198
1609459229856,9.959088,2.386694,2.255894
1609459229985,9.998565,0.552673,3.609430
1609459230114,9.796795,5.615831,5.770657
1609459230242,9.380097,5.027793,10.185762
1609459230370,9.467823,5.918486,9.251179
1609459230498,9.774863,6.848655,5.996246
1609459230626,9.853817,4.281848,5.126116
1609459230754,9.796795,4.540914,5.802884
1609459230882,9.967861,1.737248,2.642618
1609459231011,9.665206,4.259917,7.156420
1609459231139,9.590639,4.633027,7.929869
1609459231267,9.314302,7.581167,10.765850
1609459231395,9.976633,4.246758,2.771527
1609459231523,9.805568,5.005862,5.609521
1609459231651,9.643275,4.979544,7.188647
1609459231843,9.393255,6.607134,9.734584
1609459231972,9.862590,5.247108,5.029435
1609459232100,9.673979,5.462037,6.834149
1609459232228,9.656433,6.199209,7.156420
1609459232358,9.384483,7.458350,9.831265
1609459232486,9.428346,9.327461,9.251179
1609459232614,9.494141,9.397642,8.542183
1609459232743,9.858203,8.072706,5.093889
1609459232871,9.954701,3.558110,1.675807
1609459232999,9.915225,4.466073,4.417120
1609459233127,9.744160,4.404665,6.125154
1609459233257,9.559935,4.856728,7.994323
1609459233385,9.630116,6.734337,7.124193
1609459233513,9.314302,7.721529,10.508033
1609459233642,9.959088,9.906452,4.060609
1609459233792,9.516072,9.423960,8.316593
1609459233953,9.932771,8.112183,4.384893
1609459234017,9.932771,4.913750,0.870130
1609459234081,9.945929,4.049375,1.289082
1609459234209,9.875749,4.839182,4.932754
1609459234273,9.814340,4.904977,5.448386
1609459234337,9.796795,4.926908,5.770657
1609459234401,9.805568,4.966385,5.706203
1609459234465,9.963474,2.413012,2.417029
1609459234529,9.972247,1.908314,2.513710
1609459234595,9.994179,1.833747,3.577203
1609459234657,9.805568,3.215704,5.673975
1609459234721,9.652047,3.615131,7.285328
1609459234786,9.603798,4.229213,7.800961
1609459234850,9.564322,4.365188,8.187685
1609459234914,9.529231,4.865500,8.542183
1609459234978,9.450278,5.887782,9.476768
1609459235140,9.665206,7.686438,7.188647
1609459235204,9.836272,6.243072,5.222797
1609459235268,9.945929,2.197809,2.417029
1609459235332,9.950315,1.930245,2.545937
1609459235396,9.976633,2.118856,3.609430
1609459235460,9.643275,3.667767,7.156420
1609459235524,9.634502,4.167805,7.124193
1609459235588,9.673979,4.334484,6.673014
1609459235652,9.735387,4.308167,6.447425
1609459235716,9.687138,4.413437,6.930830
