TS,Track V, Car V, Car I
1609459247009,9.994179,0.057022,-0.807691
1609459247067,9.998565,0.052636,-0.839918
1609459247131,9.998565,0.057022,-0.839918
1609459247195,9.994179,0.052636,-0.839918
1609459247265,9.994179,0.057022,-0.839918
1609459247323,9.989792,0.057022,-0.839918
1609459247387,9.989792,0.057022,-0.807691
1609459247451,9.945929,0.057022,-0.839918
1609459247517,9.954701,0.057022,-0.839918
1609459247579,9.520458,3.496701,3.706111
1609459247708,9.551163,3.830060,3.641657
1609459247771,9.779250,3.281499,1.289082
1609459247912,9.520458,4.641799,3.899473
1609459247976,9.652047,4.698821,2.642618
1609459248040,9.941543,2.074993,-1.871183
1609459248105,9.950315,1.561796,-1.677821
1609459248170,9.735387,3.228863,1.611353
1609459248233,9.709069,3.580041,1.836942
1609459248297,9.691524,3.838833,2.030304
1609459248361,9.709069,4.093238,1.836942
1609459248425,9.770477,3.952876,1.224628
1609459248489,9.647661,4.053761,2.513710
1609459248646,9.511686,4.953226,4.189517
1609459248710,9.546777,5.159382,4.028382
1609459248774,9.559935,5.448878,3.802792
1609459248902,9.700296,7.212718,2.417029
1609459248966,9.621343,6.563271,2.964889
1609459249030,9.608185,6.436069,3.126024
1609459249094,9.950315,3.106047,-1.838956
1609459249160,9.941543,2.013585,-1.935637
1609459249286,9.682751,3.856378,2.352575
1609459249350,9.599412,4.602322,3.093797
1609459249478,9.748546,3.970422,1.450217
1609459249606,9.362552,6.032530,5.381918
1609459249670,9.380097,7.168855,5.188556
1609459249799,9.906452,2.715666,-2.386816
1609459249863,9.709069,5.168155,1.836942
1609459249927,9.748546,5.242722,1.708034
1609459250091,9.559935,5.826374,3.351614
1609459250219,9.546777,6.374661,3.577203
1609459250347,9.511686,7.094288,4.060609
1609459250475,9.959088,2.540215,-2.257908
1609459250539,9.779250,4.650571,1.321309
1609459250667,9.476596,6.050075,4.253971
1609459250731,9.428346,6.677315,4.705150
1609459250859,9.270439,8.120955,6.155367
1609459250987,9.568707,9.498527,3.061570
1609459251115,9.581866,9.498527,2.642618
1609459251179,9.476596,9.380097,4.028382
1609459251307,9.915225,3.628290,-2.902449
1609459251373,9.941543,2.856028,-2.451270
1609459251500,9.976633,2.654258,-0.872145
1609459251628,9.643275,4.080079,2.384802
1609459251756,9.608185,4.216054,2.771527
1609459251921,9.467823,5.334834,4.157290
1609459252049,9.472209,6.409751,4.221744
1609459252177,9.287985,9.169555,5.994232
1609459252305,9.445891,9.349393,4.479560
1609459252433,9.595025,9.489754,3.126024
1609459252561,9.902066,5.115519,-3.321401
1609459252689,9.906452,3.158682,-2.741313
1609459252817,9.818727,4.457300,0.999039
1609459252945,9.695910,5.220790,2.352575
1609459253073,9.779250,4.716366,1.063493
1609459253202,9.788022,4.703207,1.095720
1609459253329,9.546777,3.917786,3.673884
1609459253458,9.459050,4.834796,4.608469
1609459253586,9.722228,5.343606,2.191440
1609459253714,9.687138,5.040952,2.030304
1609459253842,9.770477,5.273426,1.192401
1609459253970,9.959088,3.013935,-0.839918
1609459254098,9.744160,5.067270,1.417990
1609459254226,9.669593,4.303780,2.159213
1609459254354,9.323075,6.155346,5.768642
1609459254483,9.967861,4.360802,-0.839918
1609459254611,9.709069,5.615831,2.159213
1609459254739,9.735387,5.304130,1.869169
1609459254867,9.511686,6.014985,3.963927
1609459254997,9.516072,6.339571,3.770565
1609459255125,9.709069,5.936031,1.869169
1609459255253,9.625730,5.694785,2.771527
1609459255381,9.656433,6.186050,2.255894
1609459255509,9.388869,6.813564,4.737377
1609459255637,9.345006,9.239735,5.285237
1609459255766,9.432733,9.345006,4.253971
1609459255894,9.441505,9.345006,4.415106
1609459256086,9.941543,3.141137,-2.709086
1609459256214,9.840658,4.540914,0.676768
1609459256342,9.827499,4.062534,0.966812
1609459256470,9.573094,4.352029,3.319386
1609459256599,9.520458,5.106747,3.738338
1609459256727,9.559935,6.690474,3.383841
1609459256855,9.287985,9.173941,6.026459
1609459256983,9.450278,9.349393,4.608469
1609459257111,9.551163,9.454664,3.190478
1609459257240,9.902066,4.497051,-3.418082
1609459257368,9.906452,3.101660,-2.644632
1609459257496,9.840658,4.685662,0.676768
1609459257625,9.871362,4.110783,0.290043
1609459257819,9.950315,1.710930,-1.774502
1609459257883,9.748546,3.558110,1.579126
