TS,Track V, Car V, Car I
1609459231041,9.989792,0.052636,2.739300
1609459231087,9.994179,0.048249,2.771527
1609459231151,9.994179,0.052636,2.739300
1609459231215,9.994179,0.052636,2.739300
1609459231279,9.994179,0.052636,2.739300
1609459231343,9.998565,0.052636,2.739300
1609459231407,9.994179,0.052636,2.771527
1609459231471,9.994179,0.052636,2.771527
1609459231599,9.994179,0.052636,2.771527
1609459231664,9.994179,0.052636,2.771527
1609459231728,9.994179,0.057022,2.707072
1609459231792,10.002951,0.057022,2.739300
1609459231928,9.994179,0.052636,2.739300
1609459231992,9.994179,0.052636,2.771527
1609459232056,9.994179,0.052636,2.739300
1609459232120,9.994179,0.052636,2.739300
1609459232184,9.994179,0.052636,2.739300
1609459232248,9.687138,3.724789,5.867338
1609459232312,9.551163,5.830760,7.220874
1609459232376,9.704683,5.813214,5.738430
1609459232531,9.652047,6.028143,6.254063
1609459232595,9.713455,6.567658,5.673975
1609459232659,9.989792,2.724439,2.513710
1609459232723,9.994179,2.430557,2.739300
1609459232787,9.779250,5.185700,5.029435
1609459232915,9.792409,6.317639,4.868299
1609459232979,9.748546,6.892518,5.287251
1609459233043,9.792409,6.765316,4.868299
1609459233107,9.923998,5.356765,3.546990
1609459233173,9.954701,4.716366,3.190478
1609459233235,9.827499,5.848305,4.546029
1609459233300,9.823112,6.023757,4.578256
1609459233427,9.880135,4.659344,3.998169
1609459233491,9.796795,6.054461,4.836072
1609459233555,9.779250,6.422910,5.061662
1609459233683,9.792409,6.190436,4.997208
1609459233840,9.660820,7.203945,6.318517
1609459233904,9.485368,9.371325,8.058777
1609459234032,9.989792,5.317289,2.868208
1609459234160,9.731001,7.976207,5.673975
1609459234225,9.888907,6.352729,3.933715
1609459234354,9.906452,5.255881,3.772579
1609459234480,9.831885,6.234299,4.578256
1609459234609,9.862590,5.918486,4.255985
1609459234673,9.906452,5.058497,3.804807
1609459234801,9.634502,7.629416,6.544106
1609459234929,9.669593,9.586252,6.189609
1609459234993,9.871362,8.340270,4.127077
1609459235057,9.967861,2.575305,1.579126
1609459235185,9.827499,7.146924,4.546029
1609459235313,9.809954,6.923222,4.739391
1609459235377,9.796795,7.111833,4.836072
1609459235539,9.739774,7.914799,5.416159
1609459235667,9.630116,9.546777,6.382971
1609459235795,9.849430,7.559235,4.255985
1609459235923,9.818727,6.752156,4.481575
1609459236051,9.796795,7.585553,4.932754
1609459236179,9.735387,8.081478,5.448386
1609459236307,9.673979,9.595025,5.867338
1609459236435,9.761704,9.691524,4.997208
1609459236563,9.783636,9.717841,4.803845
1609459236692,9.774863,9.709069,4.900527
1609459236820,9.814340,9.748546,4.546029
1609459236948,9.796795,9.722228,4.803845
1609459237077,9.967861,2.562146,1.289082
1609459237205,9.744160,6.365888,5.255024
1609459237333,9.853817,5.887782,4.255985
1609459237461,9.823112,6.036916,4.481575
1609459237590,9.774863,6.076393,4.900527
1609459237718,9.678365,7.598712,5.899565
1609459237846,9.581866,9.494141,6.769695
1609459237974,9.722228,9.638888,5.480613
1609459238102,9.704683,9.625730,5.609521
1609459238230,9.774863,9.709069,4.868299
1609459238358,9.796795,9.731001,4.739391
1609459238486,9.814340,9.748546,4.546029
1609459238614,9.809954,9.748546,4.578256
1609459238742,9.809954,9.744160,4.642710
1609459238870,9.959088,2.711280,1.353536
1609459238999,9.801182,7.361852,4.739391
1609459239127,9.954701,4.470459,3.158251
1609459239255,9.871362,5.852691,4.159304
1609459239383,9.919611,4.150259,3.514763
1609459239511,9.779250,5.804442,5.029435
1609459239639,9.744160,6.379047,5.448386
1609459239767,9.744160,6.615907,5.416159
1609459239895,9.700296,7.914799,5.835111
1609459240023,9.770477,8.476246,5.158343
1609459240151,9.866976,7.897254,4.223758
1609459240279,9.923998,5.492741,3.514763
1609459240408,9.796795,6.813564,4.932754
1609459240536,9.915225,5.133064,3.643671
1609459240664,9.748546,6.650997,5.351705
1609459240793,9.559935,9.463436,7.382010
