TS,Track V, Car V, Car I
1609459319443,9.994179,0.057022,1.123919
1609459319494,9.994179,0.057022,1.091691
1609459319558,10.042427,0.052636,0.930556
1609459319622,10.038041,0.057022,1.123919
1609459319686,10.016109,0.057022,1.123919
1609459319750,9.972247,0.057022,1.123919
1609459319814,10.064360,0.057022,1.123919
1609459319878,9.989792,0.250019,1.091691
1609459319943,9.932771,5.242722,1.770474
1609459320007,9.875749,7.168855,2.415015
1609459320135,9.516072,7.173241,5.959991
1609459320200,9.564322,7.440805,5.573266
1609459320336,9.989792,2.527056,-0.326299
1609459320400,10.016109,2.114469,-0.036255
1609459320528,9.761704,5.242722,3.800778
1609459320656,10.002951,3.097274,1.123919
1609459320784,9.709069,5.606784,4.187503
1609459320848,9.726614,6.014985,3.929686
1609459320912,9.849430,5.672853,2.640604
1609459320976,9.950315,4.681276,1.639551
1609459321041,9.831885,5.321675,2.930648
1609459321104,9.818727,5.808828,3.124010
1609459321264,9.827499,4.988317,3.091783
1609459321392,9.726614,5.470809,4.155276
1609459321456,9.722228,5.909713,4.284184
1609459321585,9.695910,5.896554,4.477546
1609459321650,9.709069,6.330798,4.380865
1609459321713,9.788022,5.993053,3.575189
1609459321777,9.945929,5.269040,1.834928
1609459321841,9.871362,4.957613,2.769512
1609459321969,9.897680,5.027793,2.576150
1609459322033,9.871362,4.777774,2.737285
1609459322097,9.814340,5.497127,3.091783
1609459322161,9.796795,5.409401,3.446281
1609459322289,9.726614,5.668467,3.994140
1609459322354,9.665206,6.199209,4.670908
1609459322481,9.410801,9.305530,7.345754
1609459322654,9.976633,2.645485,-0.455207
1609459322782,9.845044,5.159382,2.672831
1609459322910,9.809954,5.510286,3.027329
1609459323038,9.717841,5.492741,3.961913
1609459323102,9.731001,5.874622,3.833005
1609459323166,9.652047,6.343956,4.670908
1609459323294,9.638888,6.901291,4.993179
1609459323422,9.981019,4.690049,1.575097
1609459323550,9.836272,5.374310,3.156237
1609459323678,9.687138,6.023757,4.477546
1609459323806,9.660820,6.791633,4.638681
1609459323934,9.656433,9.573094,4.735363
1609459323998,9.581866,9.485368,5.476585
1609459324128,9.722228,9.652047,3.865232
1609459324256,9.923998,8.116569,1.867155
1609459324384,9.985406,3.097274,-0.680797
1609459324512,9.941543,5.435719,2.060517
1609459324578,9.801182,5.326061,3.414053
1609459324704,9.735387,6.164119,3.961913
1609459324833,9.669593,6.905677,4.703135
1609459324897,9.713455,7.116219,4.251957
1609459325025,9.726614,7.445191,4.123048
1609459325153,9.638888,9.559935,4.896498
1609459325281,9.744160,9.660820,3.961913
1609459325409,9.770477,9.700296,3.704097
1609459325537,10.029269,6.422910,1.027237
1609459325665,10.038041,5.163768,1.123919
1609459325795,9.814340,6.993402,3.317372
1609459325923,9.809954,7.831185,3.446281
1609459326051,10.007337,2.592850,-0.422980
1609459326243,9.866976,5.312902,2.930648
1609459326371,9.796795,5.738647,3.639643
1609459326499,9.739774,6.076393,4.219730
1609459326628,9.731001,6.225527,4.380865
1609459326756,10.033655,2.899891,1.123919
1609459326884,9.779250,5.251494,3.833005
1609459327012,9.836272,5.097974,3.188464
1609459327140,9.836272,5.163768,3.188464
1609459327268,9.792409,5.361152,3.704097
1609459327396,9.691524,6.466773,4.703135
1609459327524,9.700296,7.568008,4.606454
1609459327652,10.011724,2.895504,-0.551888
1609459327780,10.016109,1.969722,-0.004028
1609459327909,10.020496,1.267914,0.382696
1609459328037,10.038041,0.057022,1.123919
1609459328229,10.038041,0.802692,1.123919
1609459328357,9.985406,5.483968,1.575097
1609459328485,9.616957,5.953577,5.250996
1609459328613,9.805568,4.659344,3.446281
1609459328742,10.029269,0.302655,0.995010
1609459328869,10.016109,0.057022,1.123919
1609459329007,10.002951,0.771988,1.027237
1609459329135,9.989792,4.975158,1.381735
1609459329263,9.682751,7.076743,4.606454
1609459329392,9.801182,5.247108,3.478508
1609459329520,9.849430,4.869887,3.027329
1609459329648,9.809954,5.093588,3.317372
1609459329776,9.678365,5.584853,4.638681
1609459329906,9.722228,6.633452,4.155276
1609459330034,10.016109,2.241672,-0.197391
1609459330227,10.033655,2.158332,1.123919
1609459330355,9.573094,5.887782,5.508812
1609459330547,9.678365,7.958662,4.574227
1609459330611,10.038041,4.747070,1.059464
1609459330675,10.020496,2.241672,-0.165164
1609459330739,9.959088,4.448528,1.867155
1609459330867,9.902066,4.931295,2.447242
1609459330933,9.840658,5.128678,3.059556
1609459331059,9.796795,5.282198,3.414053
1609459331123,9.792409,5.523445,3.446281
1609459331187,9.735387,5.944804,4.058594
1609459331251,9.700296,6.050075,4.348638
1609459331315,9.652047,6.646611,4.832044
1609459331381,9.726614,7.313602,4.219730
1609459331443,9.687138,7.818027,4.574227
1609459331607,9.660820,9.577480,4.767590
1609459331671,9.687138,9.612571,4.380865
1609459331735,9.774863,9.695910,3.478508
1609459331799,9.739774,9.669593,3.800778
1609459331865,9.779250,9.713455,3.414053
1609459331927,9.967861,8.318338,1.510643
1609459331991,9.959088,4.426596,-1.486473
1609459332119,9.985406,5.979894,1.220600
1609459332183,9.915225,6.203595,2.092744
1609459332312,9.875749,6.370274,2.769512
1609459332376,10.002951,5.501513,1.478416
1609459332440,10.007337,2.421784,-0.261845
1609459332504,9.897680,4.562846,2.253880
1609459332632,9.906452,4.883046,2.060517
1609459332760,9.849430,4.988317,2.769512
1609459332927,9.748546,5.356765,3.800778
1609459332991,9.665206,6.019371,4.574227
1609459333056,9.678365,6.028143,4.509773
1609459333119,9.739774,6.041302,4.155276
1609459333185,9.853817,5.159382,2.769512
1609459333247,9.910838,5.185700,2.253880
1609459333375,9.809954,5.334834,3.252918
1609459333503,9.871362,5.045339,2.737285
1609459333567,9.836272,4.852342,3.027329
1609459333631,9.849430,6.335184,3.027329
1609459333759,9.766091,5.453264,3.639643
1609459333887,9.695910,6.414137,4.574227
1609459334016,9.612571,8.274475,5.412131
1609459334144,9.985406,3.325362,-0.455207
1609459334208,9.976633,2.544601,-0.326299
1609459334400,9.809954,5.584853,3.124010
1609459334528,9.739774,5.321675,4.123048
1609459334656,9.726614,5.931645,3.994140
1609459334784,9.814340,5.172541,3.124010
1609459334912,9.840658,5.172541,2.769512
1609459335040,9.766091,6.150959,3.446281
1609459335168,9.669593,6.304480,4.445319
1609459335296,9.630116,6.787247,4.703135
1609459335424,9.568707,9.480982,5.541039
1609459335552,9.656433,9.577480,4.574227
1609459335680,9.722228,9.652047,3.800778
1609459335809,9.976633,3.268340,-0.713024
1609459335937,9.954701,5.207632,1.639551
1609459336065,9.801182,5.944804,3.478508
1609459336193,9.678365,6.396592,4.316411
1609459336385,9.634502,6.760929,4.638681
1609459336513,9.665206,7.554849,4.445319
1609459336641,9.603798,9.520458,5.025406
1609459336769,9.656433,9.573094,4.477546
1609459336897,9.809954,9.744160,3.252918
1609459337036,10.011724,7.866550,1.123919
1609459337164,10.007337,6.159732,1.156146
1609459337292,9.818727,7.072356,3.027329
1609459337420,9.805568,7.717142,3.156237
1609459337548,9.981019,2.505124,-0.326299
1609459337676,9.853817,5.562922,2.866194
1609459337804,9.779250,5.440105,3.575189
1609459337932,9.678365,6.444841,4.703135
1609459338061,9.559935,6.927608,5.959991
1609459338188,9.945929,5.168155,1.931609
1609459338317,9.796795,5.216404,3.478508
1609459338445,9.796795,6.063233,3.607416
1609459338573,9.836272,5.387470,2.898421
1609459338701,9.726614,5.444492,4.090821
1609459338829,9.660820,6.458000,4.767590
1609459338957,9.652047,9.564322,4.960952
1609459339085,9.985406,3.702857,-0.261845
1609459339213,9.880135,5.668467,2.511696
1609459339341,9.757318,6.422910,3.542962
1609459339469,9.516072,6.265003,5.959991
1609459339597,9.625730,6.892518,4.896498
1609459339726,9.770477,5.861464,3.639643
1609459339854,9.814340,6.229913,3.349599
1609459339982,9.766091,6.405365,3.800778
1609459340110,9.994179,9.757318,1.091691
1609459340302,10.024882,9.586252,1.059464
1609459340430,10.029269,0.162293,1.123919
1609459340559,10.007337,0.052636,1.123919
1609459340689,9.994179,0.061408,1.123919
1609459340816,10.011724,0.057022,1.123919
1609459340945,10.020496,0.057022,1.156146
1609459341073,10.011724,0.057022,1.123919
1609459341201,10.042427,0.052636,1.123919
1609459341330,10.016109,0.052636,1.091691
1609459341459,9.989792,0.052636,1.123919
1609459341587,10.002951,0.057022,1.123919
1609459341763,10.002951,0.057022,1.091691
1609459341891,10.042427,0.118430,1.059464
1609459341955,10.007337,0.140362,1.091691
1609459342019,10.011724,0.179838,1.091691
1609459342173,10.016109,0.127203,1.123919
1609459342238,10.011724,0.175452,1.123919
1609459342302,10.011724,0.192997,1.091691
1609459342366,10.016109,0.144748,1.091691
1609459342430,10.011724,0.114044,1.091691
1609459342494,10.011724,0.135975,1.091691
1609459342558,10.011724,0.179838,1.091691
1609459342622,10.020496,0.184224,1.123919
1609459342686,10.038041,0.131589,1.123919
1609459342750,10.038041,0.057022,1.091691
1609459342816,10.016109,0.057022,1.123919
1609459342878,10.007337,0.057022,1.091691
1609459342942,10.007337,0.052636,1.091691
1609459343006,10.002951,0.061408,1.091691
1609459343134,10.007337,0.052636,1.123919
1609459343301,10.038041,0.057022,1.123919
1609459343365,10.011724,0.057022,1.123919
1609459343429,10.002951,0.052636,1.123919
1609459343557,10.002951,0.052636,1.123919
1609459343685,9.989792,0.057022,1.123919
1609459343813,10.011724,0.057022,1.091691
1609459343877,9.994179,0.057022,1.123919
1609459343941,9.994179,0.057022,1.123919
1609459344069,10.033655,0.057022,1.188373
1609459344197,10.038041,0.078953,1.091691
1609459344325,10.038041,0.057022,1.123919
1609459344453,9.989792,0.057022,1.091691
1609459344581,9.985406,0.057022,1.091691
1609459344709,10.038041,0.057022,1.123919
1609459344838,10.007337,0.052636,1.059464
1609459345001,9.994179,0.052636,1.059464
1609459345129,10.002951,0.057022,1.123919
1609459345193,10.011724,0.052636,1.123919
1609459345329,10.016109,0.052636,1.027237
1609459345393,10.011724,0.057022,1.091691
1609459345521,10.029269,0.057022,1.091691
1609459345649,10.016109,0.057022,1.091691
1609459345777,10.024882,0.052636,1.091691
1609459345905,10.038041,0.057022,1.091691
1609459345969,10.033655,0.057022,1.091691
1609459346098,10.033655,0.057022,1.091691
1609459346225,10.038041,0.052636,1.059464
1609459346353,10.038041,0.057022,1.091691
1609459346417,10.029269,0.052636,1.091691
1609459346545,10.038041,0.057022,1.123919
1609459346737,9.985406,0.057022,1.091691
1609459346865,10.002951,0.057022,1.091691
1609459346994,9.985406,0.057022,1.123919
1609459347122,10.007337,0.057022,1.091691
1609459347250,10.011724,0.057022,1.123919
