TS,Track V,Car V,Car I
1609459245179,12.618006,5.216404,5.154314
1609459245307,12.236124,6.265003,7.05571
1609459245435,11.801881,11.679065,10.181734
1609459245499,12.161557,12.069446,8.022522
1609459245628,12.7803,0.636013,0.286015
1609459245755,12.775914,5.633377,4.380865
1609459245883,12.61362,7.133764,5.31545
1609459246011,12.341395,8.265703,6.668986
1609459246139,12.130853,11.064709,7.893613
1609459246268,12.082604,11.972946,8.248112
1609459246396,12.332623,12.240512,6.797894
1609459246524,12.578529,12.49519,5.412131
1609459246652,12.872412,8.515722,3.766537
1609459246780,12.881186,4.426596,3.702083
1609459246909,12.653096,6.234299,5.025406
1609459247037,12.556599,7.1864,5.541039
1609459247165,12.389918,7.914799,6.443396
1609459247293,12.047514,10.569057,8.15143
1609459247421,12.201034,12.10015,7.571343
1609459247549,12.521508,12.438169,5.798855
1609459247677,12.644324,12.560985,5.08986
1609459247805,12.775914,0.631627,0.350469
1609459247933,12.815391,0.43863,1.381735
1609459248061,12.881186,2.364763,3.702083
1609459248189,12.565371,4.430983,5.541039
1609459248318,12.284373,6.602748,6.991256
1609459248447,12.179103,7.809254,7.345754
1609459248575,12.398692,8.647311,6.378942
1609459248704,12.819777,0.412312,1.575097
1609459248832,12.231738,7.317988,7.05571
1609459248960,12.512735,7.862164,5.669947
1609459249088,12.249284,8.994102,6.991256
1609459249216,12.411851,8.555199,6.282261
1609459249344,12.815391,0.403539,1.639551
1609459249472,12.521508,5.247108,5.573266
1609459249600,12.284373,5.83076,6.668986
1609459249728,12.012424,8.485019,8.441474
1609459249857,12.710119,7.22149,4.735363
1609459249986,12.872412,2.996389,3.605402
1609459250116,12.639938,5.225177,5.08986
1609459250244,12.477645,5.295357,5.927763
1609459250372,11.810654,9.217804,9.472739
1609459250501,12.249284,12.152785,7.571343
1609459250673,12.775914,0.657945,0.221561
1609459250737,12.881186,5.036566,3.637629
1609459250801,12.740823,6.620294,4.542
1609459250953,12.341395,7.484668,6.73344
1609459251017,12.152785,9.314302,7.732478
1609459251081,12.262443,10.608535,7.410208
1609459251209,12.091376,11.994879,8.215884
1609459251341,12.451327,12.372374,6.121126
1609459251405,12.569757,12.503963,5.347677
1609459251469,12.587303,12.503963,5.379904
1609459251533,12.591689,12.521508,5.250996
1609459251599,12.86364,8.590289,3.766537
1609459251661,12.784686,0.578991,0.608286
1609459251725,12.802231,0.47372,1.156146
1609459251790,12.635551,6.330798,5.122087
1609459251853,12.394306,7.510985,6.346715
1609459251918,12.429397,8.103411,6.18558
1609459251982,12.53028,7.839958,5.669947
1609459252048,12.37676,8.072706,6.475623
1609459252207,12.078218,11.98172,8.119204
1609459252271,12.130853,12.025582,7.925841
1609459252335,12.297533,12.196648,6.926802
1609459252399,12.473259,12.403078,5.895536
