TS,Track V, Car V, Car I
1609459225152,9.967861,0.052636,3.534905
1609459225198,9.967861,0.052636,3.534905
1609459225262,9.963474,0.057022,3.534905
1609459225326,9.967861,0.057022,3.567132
1609459225390,9.967861,0.057022,3.502678
1609459225454,9.963474,0.052636,3.502678
1609459225518,9.967861,0.052636,3.502678
1609459225646,9.884521,4.492665,4.600412
1609459225710,9.520458,2.584077,8.435431
1609459225774,9.502913,3.211318,8.564339
1609459225838,9.573094,3.593200,7.758663
1609459225904,9.551163,4.159032,8.113160
1609459226041,9.660820,4.896204,7.017441
1609459226169,9.923998,1.829360,2.535866
1609459226233,9.739774,3.724789,5.857267
1609459226297,9.818727,3.496701,5.116045
1609459226361,9.805568,3.483542,5.502769
1609459226523,9.744160,3.619518,6.276219
1609459226587,9.700296,3.496701,6.695170
1609459226651,9.652047,3.882696,7.275257
1609459226715,9.603798,4.023057,7.790890
1609459226781,9.603798,4.417824,7.629755
1609459226843,9.564322,4.847955,7.823117
1609459226907,9.603798,5.347993,7.597528
1609459226971,9.656433,5.813214,6.791852
1609459227102,9.761704,5.299744,5.857267
1609459227166,9.937157,2.290195,2.213596
1609459227231,9.945929,1.627590,2.632547
1609459227294,9.744160,3.527406,6.018402
1609459227358,9.766091,3.549337,5.792813
1609459227422,9.805568,3.320975,5.309407
1609459227488,9.726614,3.584427,6.211765
1609459227678,9.502913,4.549687,8.274296
1609459227742,9.340620,6.089551,10.272373
1609459227806,9.371325,7.458350,9.853421
1609459227870,9.862590,5.743034,4.568185
1609459227935,9.915225,3.009548,1.859098
1609459228062,9.831885,4.132715,5.019364
1609459228126,9.766091,4.273076,5.857267
1609459228254,9.581866,4.790933,7.952025
1609459228382,9.533617,5.317289,8.403204
1609459228446,9.595025,5.229563,7.629755
1609459228574,9.840658,4.439755,5.051591
1609459228703,9.643275,4.668117,6.791852
1609459228767,9.665206,4.698821,6.630716
1609459228831,9.621343,5.067270,7.049668
1609459228895,9.599412,5.124292,7.468619
1609459229064,9.380097,6.159732,9.498924
1609459229192,9.279212,9.169555,10.433508
1609459229320,9.419574,9.314302,9.144426
1609459229448,9.511686,9.410801,8.499885
1609459229576,9.950315,3.654608,1.472373
1609459229704,9.967861,2.355990,2.213596
1609459229832,9.840658,5.111133,4.987136
1609459229960,9.682751,4.009898,6.662943
1609459230088,9.616957,4.369575,7.243030
1609459230216,9.494141,5.247108,8.499885
1609459230344,9.266053,7.059197,10.949141
1609459230472,9.959088,9.910838,3.534905
1609459230601,9.511686,9.415188,8.209842
1609459230729,9.941543,7.436419,3.534905
1609459230857,9.919611,3.865150,1.343465
1609459230985,9.884521,4.497051,4.535958
1609459231113,9.849430,4.338871,4.826001
1609459231241,9.722228,4.847955,6.243992
1609459231369,9.945929,2.413012,2.471412
1609459231497,9.972247,2.272650,3.502678
1609459231625,9.630116,4.001126,7.243030
1609459231753,9.595025,4.277462,7.790890
1609459231881,9.529231,5.286585,8.596566
1609459232010,9.595025,6.190436,7.758663
1609459232139,9.827499,6.479932,5.051591
1609459232267,9.950315,2.513897,3.373770
1609459232395,9.796795,3.773038,5.534997
1609459232523,9.735387,3.930945,6.308446
1609459232651,9.564322,4.725139,8.048706
1609459232779,9.340620,7.383783,10.433508
1609459232971,9.919611,2.781461,1.955779
1609459233099,9.744160,4.624254,5.921721
1609459233228,9.634502,4.725139,7.049668
1609459233356,9.516072,5.176928,8.274296
1609459233484,9.796795,4.505824,5.696132
1609459233613,9.704683,4.584777,6.598489
1609459233741,9.630116,5.212018,7.307484
1609459233869,9.551163,5.699171,8.016479
1609459233997,9.423960,6.747770,9.305562
1609459234125,9.353779,9.244122,9.627832
1609459234254,9.406415,9.305530,9.047746
1609459234383,9.928384,7.344306,3.824948
1609459234511,9.959088,3.285885,1.665736
1609459234639,9.875749,4.185350,4.503731
1609459234767,9.840658,5.659694,4.922682
1609459234959,9.630116,4.347643,7.371938
1609459235087,9.516072,5.304130,8.532112
1609459235216,9.432733,6.322025,9.305562
1609459235344,9.266053,9.138850,10.884686
