TS,Track V,Car V,Car I
1609460568658,12.762754,3.812515,3.573174
1609460568786,12.271214,5.343606,5.444358
1609460568914,12.174717,5.405015,6.185580
1609460569042,12.187876,6.137801,6.765667
1609460569170,12.012424,6.690474,8.538155
1609460569298,11.657133,8.147273,10.794048
1609460569426,12.082604,9.524844,8.505928
1609460569554,12.749596,3.667767,-0.229618
1609460569684,12.784686,2.241672,1.285054
1609460569877,12.863640,2.184650,3.540947
1609460570005,12.854867,0.057022,3.573174
1609460570133,12.258057,4.786547,5.927763
1609460570261,11.845744,2.702507,9.633875
1609460570389,12.078218,5.058497,8.248112
1609460570517,12.196648,5.743034,7.603570
1609460570645,12.797845,1.939017,1.575097
1609460570773,12.482032,3.461611,5.347677
1609460570901,12.108922,5.343606,7.861386
1609460571029,12.108922,5.887782,7.861386
1609460571157,12.749596,3.255181,3.347585
1609460571290,12.622394,1.276687,2.284092
1609460571418,12.275601,3.536178,5.895536
1609460571546,11.999265,4.567232,8.409246
1609460571674,11.893993,6.199209,9.150469
1609460571868,12.591689,1.447752,2.090730
1609460571994,12.372374,3.132365,4.896498
1609460572124,11.915925,4.738298,8.989333
1609460572251,11.801881,7.072356,9.923918
1609460572379,12.775914,3.461611,1.575097
1609460572507,12.832935,3.062184,3.508720
1609460572635,12.359216,4.501438,5.315450
1609460572763,12.218579,4.773388,6.475623
1609460572891,12.073832,5.769351,8.119204
1609460573019,11.591338,8.094638,11.212999
1609460573148,12.051901,9.375710,8.667063
1609460573276,12.753982,3.320975,0.124880
1609460573406,12.789072,2.123242,1.413962
1609460573535,12.675029,4.382733,4.477546
1609460573663,12.354828,4.466073,5.508812
1609460573855,12.117695,5.562922,7.668024
1609460573983,11.845744,7.177627,9.569421
1609460574111,11.797495,8.748196,9.988372
1609460574239,12.253670,9.279212,7.377981
1609460574367,12.775914,2.772688,0.672740
1609460574561,12.811005,1.566182,2.026276
1609460574625,12.824162,1.158257,2.413001
1609460574689,12.859253,2.053061,3.605402
1609460574753,12.552213,3.281499,5.025406
1609460574819,12.306305,4.246758,6.121126
1609460574945,12.122081,4.549687,7.474662
1609460575009,12.038741,5.040952,8.248112
1609460575073,12.051901,5.571694,8.280338
1609460575201,12.811005,2.281423,1.897368
1609460575267,12.815391,1.570569,1.994049
1609460575457,12.266829,4.747070,6.733440
1609460575521,12.148398,5.027793,7.120164
1609460575586,12.117695,5.321675,7.313527
1609460575720,12.718891,2.987617,3.476493
1609460575784,12.644324,1.373185,2.187411
1609460575848,12.653096,1.131939,2.477455
1609460575912,12.262443,3.070956,4.670908
1609460576041,12.337009,3.505474,5.605493
1609460576105,12.205421,3.637063,6.411169
1609460576169,12.029969,4.536528,7.958068
1609460576233,11.951015,5.084815,8.731517
1609460576297,11.968560,5.861464,8.763744
1609460576361,12.328238,5.418174,6.024445
1609460576426,12.657484,1.956563,1.639551
1609460576489,12.679415,1.557410,1.994049
1609460576682,12.381146,5.163768,3.992126
1609460576746,12.148398,3.320975,7.120164
1609460576810,11.990492,3.606359,8.667063
1609460576874,11.744859,5.426946,9.988372
1609460576939,11.863290,5.707943,9.472739
1609460577002,11.801881,6.708019,9.859464
1609460577066,12.381146,6.427296,6.443396
1609460577131,12.767140,2.355990,1.188373
1609460577258,12.846095,2.847255,3.540947
1609460577322,12.323850,4.005512,4.993179
1609460577451,12.306305,3.974808,4.864271
1609460577514,12.363602,3.746720,4.993179
1609460577643,12.249284,4.023057,6.153353
1609460577770,11.876449,6.686088,9.376059
1609460577834,11.700996,7.287285,10.471778
1609460578026,12.021196,9.301143,8.731517
1609460578154,12.560985,3.558110,-0.100710
1609460578218,12.569757,2.654258,0.801648
1609460578347,12.407464,4.760229,4.542000
1609460578475,12.301919,4.935681,5.895536
1609460578539,12.297533,5.172541,5.766628
1609460578603,12.288760,5.203245,6.056672
1609460578731,12.016810,6.133414,8.344792
1609460578859,11.591338,8.042002,10.987411
1609460578987,12.012424,9.445891,8.860425
1609460579115,12.745210,3.755493,-0.294072
1609460579243,12.793459,2.219741,1.349508
1609460579372,12.815391,1.474070,2.090730
1609460579499,12.683801,3.193773,4.348638
1609460579628,12.337009,3.132365,6.282261
1609460579820,12.126467,4.549687,7.668024
1609460579948,12.086990,5.212018,7.925841
1609460580076,12.578529,5.212018,5.057633
1609460580206,12.850481,2.294582,3.573174
1609460580334,12.306305,4.163419,6.024445
1609460580462,12.253670,4.997089,6.733440
1609460580590,12.372374,4.826024,6.024445
1609460580718,12.473259,1.206506,2.348547
1609460580846,12.464487,5.115519,4.088807
1609460580974,12.477645,7.024107,4.056580
1609460581102,12.100150,4.058147,7.313527
1609460581230,11.907153,4.619867,8.699290
1609460581358,12.258057,5.168155,6.959029
1609460581486,12.789072,1.982881,1.704005
1609460581614,12.797845,1.232824,2.316319
1609460581807,11.981720,3.917786,8.602609
1609460581935,11.937856,6.308866,9.311604
1609460582063,11.863290,7.133764,9.666101
1609460582191,12.784686,2.255105,1.252827
1609460582325,12.468873,4.110783,4.574227
1609460582453,12.354828,4.633027,5.476585
1609460582581,12.157171,5.317289,7.377981
1609460582709,11.762404,7.037266,9.923918
1609460582837,11.639588,8.353429,10.794048
1609460582965,12.021196,9.388869,8.763744
1609460583094,12.740823,3.935331,-0.390753
1609460583222,12.784686,2.307741,1.188373
1609460583350,12.692575,4.602322,4.380865
1609460583478,12.473259,4.492665,5.283223
1609460583606,12.117695,5.356765,7.603570
